Mesh Size,C_l,C_d,C_m
8,0.15664470430894617,0.0472525801966964,-0.03159985249124688
16,0.2350095957773295,0.05063466574113719,-0.029878431429043638
32,0.3408651311045534,0.035725010118796176,-0.03543680758810728
64,0.3592073404345906,0.027038638923790555,-0.039437048587953535
128,0.36434939313750436,0.024315795961925016,-0.04055520170134012
256,0.3602572951336838,0.023239021178381055,-0.039383686538989014
512,0.3570126709251494,0.022805311478861754,-0.03844782820571412
1024,0.35504805952631074,0.0226238472293152,-0.03788208822157524
2048,0.35366160622456894,0.02252796022196282,-0.03748311166664371
