Mesh Size,C_l,C_d,C_m
8,-1.0060767853923036e-15,0.04570568034730088,4.78642578759979e-16
16,-5.030383926961518e-16,0.0453311757935183,1.9943440781665795e-17
32,-6.438891426510743e-16,0.022409788187937037,1.5456166605790992e-16
64,8.853475711452273e-16,0.01201065100477925,0.0
128,4.0337391114322676e-16,0.009406624445262923,1.779328857239245e-16
256,6.877478025142701e-16,0.008613353126450951,8.148765256883758e-17
512,3.0437752745560126e-16,0.008367162950863597,2.367504552167279e-16
1024,7.840806372124438e-15,0.00829476967156344,-2.1791714736919783e-15
2048,-2.5179454109329683e-15,0.008275018448492264,1.1134487259258095e-15
