Time,Residual_0,Residual_1,Residual_2,Residual_3,cl,cd,cm,
2.1764576399999999e-01,4.0423437865400712e-03,4.5076496873107707e-03,3.7977945618424261e-03,1.4370015448668125e-02,2.0490702134821759e-01,2.4761744434372790e-02,-6.4882727380648125e-02,
2.3411367999999999e-01,4.5099585992826553e-03,3.2341046320983413e-03,2.9113881110375589e-03,1.6156028251294023e-02,2.1261796080586617e-01,5.4240081137584911e-02,-6.6262637862015292e-02,
2.5072497300000002e-01,3.5562378635992818e-03,3.7025097727368030e-03,3.3935248521195826e-03,1.2530413520890710e-02,2.3213503406260730e-01,4.5849068854085968e-02,-6.6337935045307966e-02,
2.6709724099999999e-01,3.8729555524906500e-03,3.0541199600001181e-03,2.4736207632230028e-03,1.3857842139716286e-02,2.4202024836413599e-01,1.4899049897528271e-02,-6.5758045184439798e-02,
2.8326709200000000e-01,3.1235424622224534e-03,3.0264503831330951e-03,2.9709533329130666e-03,1.0924547855644780e-02,2.3809722683598486e-01,1.0431110399404942e-02,-6.5450234075666913e-02,
2.9953896000000002e-01,3.2644639209138187e-03,2.8400954244608861e-03,2.2508515199650375e-03,1.1449468872659151e-02,2.3801364215127477e-01,2.7518704437473712e-02,-6.5147703730027720e-02,
3.1547081500000002e-01,2.8424988535302510e-03,2.6097453160330384e-03,2.4908716185621438e-03,9.8611536894487872e-03,2.4877113589941044e-01,2.8934328223447773e-02,-6.4426943387334595e-02,
3.3174379700000001e-01,2.9535456246644579e-03,2.4432418089076913e-03,1.9402962573257002e-03,1.0380304741765248e-02,2.5724432788095680e-01,9.9122905690481270e-03,-6.3472109551679021e-02,
3.4840329199999998e-01,2.6979842938968227e-03,2.2538573702824975e-03,2.0191441125147454e-03,9.3708093356823091e-03,2.5464496948641668e-01,-6.0848885956769590e-04,-6.2690849858893852e-02,
3.6467299500000000e-01,2.6558750364010382e-03,2.1720837397295389e-03,1.7390599081570114e-03,9.1494483885711901e-03,2.5092660097191549e-01,6.1813243265942414e-03,-6.1962511258888901e-02,
3.8105961199999999e-01,2.4376407822754857e-03,1.9002934104104918e-03,1.7832488384709089e-03,8.2883589972749614e-03,2.5503269112194177e-01,1.0004785400114399e-02,-6.0938101295089121e-02,
3.9759392599999999e-01,2.3066648459071242e-03,1.8463821245333785e-03,1.6228074038489599e-03,7.8089050683919038e-03,2.6091981978160300e-01,4.3543020389552535e-04,-5.9622340102870305e-02,
4.1389266800000002e-01,2.2426845985715907e-03,1.6483945285869698e-03,1.4997034884871219e-03,7.5687754342662313e-03,2.5957447871937017e-01,-8.7606937714043223e-03,-5.8309264668399426e-02,
4.3031366799999998e-01,2.0859156900436327e-03,1.6415644021647812e-03,1.4371719950675196e-03,6.9382716845887019e-03,2.5439968061568230e-01,-7.1873836615528736e-03,-5.7040492374273964e-02,
4.4674514900000001e-01,2.0196812929573803e-03,1.5036975999944877e-03,1.3041407645926037e-03,6.6942173287625004e-03,2.5347001079627185e-01,-3.9230787249435748e-03,-5.5680828955585890e-02,
4.6320250499999999e-01,1.9084681963713213e-03,1.4561549710355257e-03,1.2667101673625185e-03,6.2770430139919235e-03,2.5591001742272745e-01,-8.4108682200970068e-03,-5.4264608983144336e-02,
4.7938219199999998e-01,1.8551220863740551e-03,1.3365820774726600e-03,1.1503513546907576e-03,6.0824476613278843e-03,2.5499982104169283e-01,-1.5321175714558785e-02,-5.2945057065860501e-02,
4.9555937300000003e-01,1.7563154432563854e-03,1.3034256430214692e-03,1.1152426910597743e-03,5.6915262553408940e-03,2.5027811668137095e-01,-1.6357584732490060e-02,-5.1766309962683638e-02,
5.1156621000000002e-01,1.7115413700544606e-03,1.2092929124883861e-03,1.0242016183460909e-03,5.5291730437961378e-03,2.4731375630923921e-01,-1.4345798094548409e-02,-5.0673588553274820e-02,
5.2799525999999997e-01,1.6363074086054052e-03,1.1656850003499174e-03,1.0133744295887140e-03,5.2453007211248305e-03,2.4758273529376298e-01,-1.6002292572013355e-02,-4.9634729654712460e-02,
5.4446620599999995e-01,1.6099704275922058e-03,1.0983231002575930e-03,9.1908059482696510e-04,5.1589079864304450e-03,2.4692181381892325e-01,-2.0234391157602439e-02,-4.8656381819798401e-02,
5.6094662500000003e-01,1.5406341790147767e-03,1.0595893574173666e-03,8.8810198196013427e-04,4.8874956776220647e-03,2.4329609138249272e-01,-2.1617017015093169e-02,-4.7743053353738622e-02,
5.7737819000000001e-01,1.4960966718837942e-03,1.0139493563898808e-03,8.3855817768284987e-04,4.7238267264449792e-03,2.3964301992812939e-01,-2.0163154693559716e-02,-4.6880603899546826e-02,
5.9384002899999999e-01,1.4497352221556829e-03,9.6037530758933645e-04,8.2516522323996969e-04,4.5527472899086954e-03,2.3804020673477239e-01,-2.0013867538829114e-02,-4.6074587262570590e-02,
6.1088363400000001e-01,1.4184509996619239e-03,9.1751912174326716e-04,7.7665930962054206e-04,4.4453258436852518e-03,2.3661025933397392e-01,-2.1795648967266389e-02,-4.5381450315441524e-02,
6.2769419599999998e-01,1.3729301472987468e-03,8.9112629610551110e-04,7.6029937642583026e-04,4.2749222607785086e-03,2.3340039892096290e-01,-2.2380504265479551e-02,-4.4865373341047267e-02,
6.4430390000000004e-01,1.3500594705790358e-03,8.5820082581096880e-04,7.3771171109437148e-04,4.1989483591306576e-03,2.2960728998906274e-01,-2.0790566606959000e-02,-4.4544575399566161e-02,
6.6108182500000001e-01,1.3296273352764792e-03,8.1772555455152769e-04,7.1859705881909680e-04,4.1337854980099311e-03,2.2704754203030311e-01,-1.9242458663700869e-02,-4.4426789263754443e-02,
6.7783198099999997e-01,1.2971906199089724e-03,7.9951381636995163e-04,7.0702294262497685e-04,4.0186281046453234e-03,2.2519729046996703e-01,-1.8781791817832329e-02,-4.4531770111778501e-02,
6.9442235799999996e-01,1.2755293036267911e-03,7.7791547825980102e-04,7.0015790813985181e-04,3.9470378748110921e-03,2.2256870857363009e-01,-1.7813977404061647e-02,-4.4843684418315558e-02,
7.1111561499999998e-01,1.2706023670806944e-03,7.5219787871755566e-04,6.8619326641280694e-04,3.9431393985681568e-03,2.1934873875287061e-01,-1.5237404104551981e-02,-4.5317526167024350e-02,
7.2751431899999996e-01,1.2600940588935431e-03,7.3152426515177315e-04,6.7707695239046335e-04,3.9137122767874278e-03,2.1684361425522539e-01,-1.2051202680141659e-02,-4.5943128867346868e-02,
7.4430539299999998e-01,1.2478326849853364e-03,7.1611550071191586e-04,6.7390803816378775e-04,3.8751443955365450e-03,2.1529330650715303e-01,-9.2036534242735876e-03,-4.6723046094293917e-02,
7.6085245099999999e-01,1.2525224340020206e-03,6.9446896011029721e-04,6.5799103586904658e-04,3.9064051370139175e-03,2.1393321711426250e-01,-6.0364922299293638e-03,-4.7621496378033749e-02,
7.7710324600000003e-01,1.2605925181547960e-03,6.8202825260868136e-04,6.4423220700260094e-04,3.9503667365836971e-03,2.1276134539302702e-01,-1.7020248128294881e-03,-4.8600870972742856e-02,
7.9346197799999996e-01,1.2679753159791658e-03,6.6946026594155196e-04,6.3550000623806865e-04,3.9914912531700125e-03,2.1274405415376957e-01,3.3961429710039799e-03,-4.9649882888851728e-02,
8.0969014500000003e-01,1.2806033806003173e-03,6.4923185060226940e-04,6.1836896632592054e-04,4.0550081428273382e-03,2.1442090539492306e-01,8.4671479119434317e-03,-5.0739761028523386e-02,
8.2611856100000003e-01,1.2955084416965178e-03,6.3473930242198356e-04,5.8999240224311762e-04,4.1285568251846708e-03,2.1752292174908894e-01,1.3576516277550741e-02,-5.1813678945971761e-02,
8.4261412999999996e-01,1.3063625147425786e-03,6.3062277842692107e-04,5.6776235859530414e-04,4.1858457435780295e-03,2.2197104826390493e-01,1.9159851198878371e-02,-5.2831579412958948e-02,
8.5875404600000005e-01,1.3137258267831718e-03,6.2026111818062738e-04,5.4896585754347395e-04,4.2298543264378333e-03,2.2826042135319161e-01,2.4964099125477965e-02,-5.3783624022514707e-02,
8.7499822999999999e-01,1.3071507149925452e-03,6.0914300905033213e-04,5.3670199978397923e-04,4.2185510464054421e-03,2.3671264559600941e-01,3.0265093492631758e-02,-5.4672003053499132e-02,
8.9125235999999997e-01,1.2803725271280590e-03,6.0957176932096592e-04,5.4323085474950621e-04,4.1271899151449111e-03,2.4701719803407485e-01,3.4730496079208917e-02,-5.5506394703398999e-02,
9.0739845299999999e-01,1.2391722763378753e-03,6.1471257635385690e-04,5.7057439816566419e-04,3.9790375211362691e-03,2.5865927908943875e-01,3.8394637851815384e-02,-5.6313314118064658e-02,
9.2387403199999996e-01,1.1849816353551906e-03,6.2203946288608375e-04,6.0919000127272987e-04,3.7791247216575350e-03,2.7130497922261676e-01,4.1018777743023316e-02,-5.7149907492906701e-02,
9.4106429000000003e-01,1.1170124718303698e-03,6.3904032364130018e-04,6.5231828553086668e-04,3.5234785331345630e-03,2.8454946275476506e-01,4.2076112928401889e-02,-5.8106458269055583e-02,
9.5762122599999999e-01,1.0530489139536155e-03,6.6098330675674844e-04,6.8605390417961546e-04,3.2865218092093186e-03,2.9762954639715355e-01,4.1313603243982110e-02,-5.9277620136191984e-02,
9.7473320100000005e-01,1.0148735074271607e-03,6.7956188727559042e-04,6.9697234086399504e-04,3.1617616855419547e-03,3.0967226150780530e-01,3.8909030003994712e-02,-6.0731947097935744e-02,
9.9361861799999995e-01,1.0076945756959037e-03,6.9558314209051920e-04,6.8327394315623592e-04,3.1707069107467156e-03,3.2010540266837384e-01,3.5104511441628176e-02,-6.2511407662170490e-02,
1.0102612959999999e+00,1.0293402015374067e-03,7.0572388092374444e-04,6.4929331294252195e-04,3.2980367051454766e-03,3.2867089402389627e-01,3.0045048392082066e-02,-6.4622499550368181e-02,
1.0268125379999999e+00,1.0707009054250266e-03,7.0311554112164351e-04,6.0066436161230802e-04,3.4976755160976065e-03,3.3523632854191582e-01,2.4015713417431750e-02,-6.7000784821028059e-02,
1.0431922899999999e+00,1.1096944243319529e-03,6.9036803241428535e-04,5.4904941615264286e-04,3.6765763947470753e-03,3.3982841445328993e-01,1.7548170410102294e-02,-6.9500945298863290e-02,
1.0597279479999999e+00,1.1286431312328665e-03,6.7534361289058617e-04,5.0811906729389075e-04,3.7669743327190443e-03,3.4276899738442251e-01,1.1180861791260096e-02,-7.1931487635123914e-02,
1.0764388860000000e+00,1.1245850673982916e-03,6.6156718803439150e-04,4.8198330273765706e-04,3.7614271838518833e-03,3.4458520997748254e-01,5.2635145438485690e-03,-7.4090158336336490e-02,
1.0925873550000000e+00,1.0981912156802073e-03,6.5228623812282188e-04,4.6849844336887343e-04,3.6657945566136883e-03,3.4577887794770296e-01,4.6308126815703342e-05,-7.5785528684319037e-02,
1.1090575990000000e+00,1.0509055361433883e-03,6.5039590704341641e-04,4.6535874556331115e-04,3.4877084845952137e-03,3.4672477763419102e-01,-4.2050246458271894e-03,-7.6863867238246592e-02,
1.1252345429999999e+00,9.9191826760665152e-04,6.5226900931512368e-04,4.6654512699138281e-04,3.2639729177328654e-03,3.4770095402564422e-01,-7.2892763498198076e-03,-7.7239014995627686e-02,
1.1412742990000000e+00,9.3350864413572631e-04,6.5191988854921700e-04,4.6578060767132147e-04,3.0432603425112575e-03,3.4888734262277626e-01,-9.1787379950114580e-03,-7.6909621444665829e-02,
1.1574202560000000e+00,8.8208971143853153e-04,6.4688805150860877e-04,4.6334521601953732e-04,2.8512850918874220e-03,3.5030975056855634e-01,-9.9648810219381580e-03,-7.5959354002926083e-02,
1.1738461720000000e+00,8.4138731907220927e-04,6.3557107296391131e-04,4.6068491541987889e-04,2.7030689935922604e-03,3.5183484577050239e-01,-9.7458687541514960e-03,-7.4540296252599197e-02,
1.1902383780000001e+00,8.1452111530712877e-04,6.1715219078193934e-04,4.5559320339971234e-04,2.6110259295246290e-03,3.5325311029173528e-01,-8.6245301981890798e-03,-7.2844115989113542e-02,
1.2068507319999999e+00,7.9864566982572132e-04,5.9497290962178429e-04,4.4729583165937516e-04,2.5630983372663175e-03,3.5437012348319091e-01,-6.7669552882794306e-03,-7.1072877462636144e-02,
1.2235295180000001e+00,7.8759192363108310e-04,5.7363579922514024e-04,4.3811838726396968e-04,2.5336626013894902e-03,3.5504461624458505e-01,-4.3882028287354977e-03,-6.9409779241138697e-02,
1.2399442810000001e+00,7.7837263145384044e-04,5.5446648558647358e-04,4.2889048953807107e-04,2.5102056109075083e-03,3.5520013522989086e-01,-1.6853557458102995e-03,-6.7985649470291204e-02,
1.2564313700000000e+00,7.6926657949141026e-04,5.3708222708389751e-04,4.1935749879691873e-04,2.4855612596172446e-03,3.5485705123946765e-01,1.1773994990262702e-03,-6.6854658434001207e-02,
1.2728241069999999e+00,7.5820772165817733e-04,5.2095797868416806e-04,4.1039351289576584e-04,2.4515288372144407e-03,3.5415874953208154e-01,4.0315570395957432e-03,-6.5993763191883992e-02,
1.2892115909999999e+00,7.4572238235310782e-04,5.0426576337133776e-04,4.0160923369517376e-04,2.4106981987372907e-03,3.5333435694448689e-01,6.6949370237606876e-03,-6.5318607687512020e-02,
