aoa,cl,cd,cm
-5.0,-0.20283364817878333,0.005839946704592696,-0.17017672372861198
-4.5,-0.10029614518972384,0.0029915593616851874,-0.17035414932560758
-4.0,-0.000760663656366105,0.0020153036610625007,-0.1707470496966826
-3.5,0.09585844171275763,0.0017332299351103806,-0.17241151954666856
-3.0,0.1912329385998424,0.001499406641172873,-0.17480122068156384
-2.5,0.2859650173638429,0.0013515184920111828,-0.177566624396781
-2.0,0.38057277460535144,0.001231337131286061,-0.18046659175637397
-1.5,0.4755785448439413,0.0011772573208921318,-0.183421285749652
-1.0,0.571383612880296,0.0011591287634311902,-0.18627369712871789
-0.5,0.66856330586373,0.0011845571807788376,-0.18886501078089435
0.0,0.7676813146061566,0.0012841173074122673,-0.19088865568359784
0.5,0.8696893850520616,0.0015599774383846545,-0.1919968154388672
1.0,0.9746948622779593,0.0024001051122553587,-0.19063615681302565
1.5,1.0957400074974784,0.00280365364101888,-0.18716733519058823
2.0,1.1934494960436193,0.00854793821527017,-0.1882891122409212
2.5,1.288946377414263,0.018048479472324016,-0.1949647551429861
3.0,1.3837974075412651,0.030643707760028407,-0.2059061255624877
3.5,1.4679592854762868,0.045098324309383486,-0.21713251756145716
4.0,1.5430217229280732,0.06086534797474162,-0.22785617973184016
4.5,1.6085565766941508,0.07740051466901757,-0.23710667479931016
5.0,1.668996728986356,0.0947954113186545,-0.24588402897639508
5.5,1.7206287574284465,0.112310680683672,-0.25250581712318504
6.0,1.7659334566249822,0.12999052691217286,-0.25759994477959774
6.5,1.8055161804992532,0.14772408427796213,-0.2612284931268769
7.0,1.8400107425348404,0.16540967507096593,-0.26349046372434576
7.5,1.8698907022761784,0.18298268508413523,-0.26447181725563645
8.0,1.8956722276085125,0.2004027147858516,-0.2643591277480224
8.5,1.9187131179112684,0.2177501254820428,-0.2635241660517473
9.0,,,
9.5,,,
10.0,,,
10.5,,,
11.0,,,
11.5,,,
12.0,,,
12.5,,,
13.0,,,
13.5,,,
14.0,,,
14.5,,,
15.0,,,
15.5,,,
