aoa,cl,cd,cm
-5.0,-0.34076001401468203,0.0058544230827167355,-0.04463399254239373
-4.5,-0.2811251908239383,0.00497197914782949,-0.04522562282840066
-4.0,-0.22146898577048113,0.001601137468591653,-0.046159794992464975
-3.5,-0.16027388683742544,0.001388970951576728,-0.04720116137063765
-3.0,-0.09897641043388569,0.001212274897900978,-0.04825676915938397
-2.5,-0.03760057091345579,0.001067926764909144,-0.04932534163191333
-2.0,0.02384407061260738,0.0009497091641975097,-0.05040421722123847
-1.5,0.08533287803133856,0.000858355392507567,-0.051490981509750726
-1.0,0.1468387375532692,0.0007884368082541788,-0.05258360368448129
-0.5,0.20836591249345449,0.0007366536807452365,-0.05368093387852339
0.0,0.26988570001781,0.0007065973522708258,-0.05477961353894832
0.5,0.33138423591008803,0.0006936446674281444,-0.05587804775117952
1.0,0.3928448137454064,0.0006962421018896061,-0.05697395657793431
1.5,0.45423532457015914,0.0007174161801812568,-0.0580643855688442
2.0,0.5155610970482646,0.0007557326184881491,-0.05914725670364035
2.5,0.576795485202552,0.0008103546381189189,-0.06022026472663337
3.0,0.6379152562499325,0.0008838711519910112,-0.06128052078201088
3.5,0.6989032308488875,0.000977517722638009,-0.06232594367725126
4.0,0.7597355245270102,0.0010930586445811962,-0.06335329749951751
4.5,0.8203721103352974,0.0012360859472516804,-0.06435898892407199
5.0,0.8808199966318035,0.0014065059724635797,-0.06534103518176827
5.5,0.9410400172476446,0.0016071789458520262,-0.06629622617282266
6.0,1.0010270181967955,0.0018478839824562364,-0.06722446378239368
6.5,1.0606948337151616,0.0021249234920233907,-0.06811536546493163
7.0,1.120041524328682,0.002447968988416277,-0.06896854836383436
7.5,1.1790263889463293,0.002823482315456162,-0.06977888164578659
8.0,1.237633033110207,0.0032574607965775047,-0.07054404354697043
8.5,1.2958121400964009,0.0037592321150393686,-0.0712572367517324
9.0,1.3534753539649933,0.004340208260682068,-0.07191028468005427
9.5,1.4105908983506532,0.00500352106922442,-0.07249812020387218
10.0,1.4670594615348425,0.005759364455970657,-0.07301321710152185
10.5,1.5228133264407733,0.006614725337705253,-0.07344928868962866
11.0,1.5776893013989892,0.0075768041569050865,-0.0737950023328939
11.5,1.6316470968293566,0.008662061247129873,-0.07404343874296089
12.0,1.684454721506422,0.009868503871274904,-0.07417896899625184
12.5,1.7360590557784097,0.011217126435978149,-0.07419720389239184
13.0,1.7862718871501897,0.012716320545662288,-0.07408620338952197
13.5,1.835015136359463,0.014387147099277972,-0.073838003042811
14.0,1.8821277129686436,0.016243477646960845,-0.07344487374105325
14.5,1.9272879913794008,0.018282420572626464,-0.07288115980579131
15.0,1.9703628344353163,0.020532798122081797,-0.07215152618763172
15.5,2.01109076957809,0.02300189489359213,-0.07123962473700364
