aoa,cl,cd,cm
-5.0,-0.13497538027168068,0.0031794162166257607,-0.13390272410575704
-4.5,-0.06313854330022002,0.0026297406080474854,-0.13556158306647936
-4.0,0.00828943387474456,0.0021945182614691618,-0.13720360825999778
-3.5,0.07953102032623742,0.001871208772296872,-0.1388371644742283
-3.0,0.15044117634962176,0.00161730488297989,-0.14044161214496317
-2.5,0.22130464248675685,0.0014030243225391112,-0.1420057449309202
-2.0,0.29193169956591847,0.001280660399169437,-0.14355427046678162
-1.5,0.3625086871014665,0.0012531559655467224,-0.1450933657680742
-1.0,0.4330687288226816,0.0012132087316739446,-0.14651720265199705
-0.5,0.5035720234749774,0.0012766280717395983,-0.147968910948815
0.0,0.5740497339924345,0.0013638030413869844,-0.1492796265540974
0.5,0.6445199526731079,0.001472725098592536,-0.15042929353399545
1.0,0.7150320243586656,0.0016706867747903523,-0.1515732464275318
1.5,0.7854821511899459,0.0018964358552128787,-0.15248305923890712
2.0,0.8559156855876605,0.0021860725135352125,-0.15316931541388434
2.5,0.9261583844733229,0.0025387431973248257,-0.1536368725731429
3.0,0.9961639463192803,0.0029884198875492706,-0.15373963103550464
3.5,1.0657415594039654,0.003567661796976485,-0.1534862743245708
4.0,1.1339410336808249,0.004413057551562805,-0.15251370868809308
4.5,1.1978652216209436,0.006041166935454012,-0.15027411436353513
5.0,1.253489243363468,0.00911210194451861,-0.1464399039431655
5.5,1.3017011755440262,0.013322201515553998,-0.14132514545094488
6.0,1.3415331750656352,0.018556153787940358,-0.13513683730945145
6.5,,,
7.0,,,
7.5,,,
8.0,,,
8.5,,,
9.0,,,
9.5,,,
10.0,,,
10.5,,,
11.0,,,
11.5,,,
12.0,,,
12.5,,,
13.0,,,
13.5,,,
14.0,,,
14.5,,,
15.0,,,
15.5,,,
