Mesh Size,C_l,C_d,C_m
8,0.15491087414648297,0.04660127281215923,-0.02686742991440035
16,0.15838076538378262,0.03509555793019762,-0.01046780484371394
32,0.16843085015985135,0.01602197729997232,-0.004499578679996067
64,0.1751048030605017,0.0053348065617866685,-0.00238411839846899
128,0.17793241468564447,0.001654181594244144,-0.001948630506860144
256,0.17864219405584197,0.0005040347251178754,-0.0018708747371156986
512,0.1787538971753981,0.0001455229203771838,-0.001846937845278777
1024,0.17875881394915835,4.0120186346573184e-05,-0.0018378632662685874
2048,0.1787515357778913,1.0830423382549424e-05,-0.0018342478147250468
